"contest_num","nickname","task","solved","count(*)"
1,AlinaZemlev,A - A+B (Trial Problem),1,1
1,AlinaZemlev,B - Simple sort,1,1
1,AlinaZemlev,C - Simple sort,0,1
1,AlinaZemlev,C - Simple sort,1,1
1,AlinaZemlev,D - Number of inversions,1,1
1,AlinaZemlev,E - Simple sort,0,3
1,AlinaZemlev,E - Simple sort,1,1
1,AlinaZemlev,F - Королевская сортировка,0,1
1,AlinaZemlev,F - Королевская сортировка,1,1
1,Andrei_Belenko,A - A+B (Trial Problem),0,1
1,Andrei_Belenko,A - A+B (Trial Problem),1,1
1,Andrei_Belenko,B - Simple sort,0,1
1,Andrei_Belenko,B - Simple sort,1,1
1,Andrei_Belenko,C - Simple sort,0,2
1,Andrei_Belenko,C - Simple sort,1,1
1,Andrei_Belenko,E - Simple sort,0,4
1,Anise,A - A+B (Trial Problem),1,1
1,Anise,B - Simple sort,0,1
1,Anise,B - Simple sort,1,1
1,Anise,C - Simple sort,1,1
1,Anise,D - Number of inversions,0,8
1,Anise,D - Number of inversions,1,1
1,Anise,E - Simple sort,0,9
1,Anise,E - Simple sort,1,1
1,Anise,F - Королевская сортировка,0,4
1,Anise,F - Королевская сортировка,1,1
1,AntonRampage,A - A+B (Trial Problem),1,1
1,AntonRampage,B - Simple sort,1,1
1,AntonRampage,C - Simple sort,0,2
1,AntonRampage,C - Simple sort,1,1
1,AntonRampage,D - Number of inversions,0,4
1,AntonRampage,D - Number of inversions,1,1
1,AntonRampage,E - Simple sort,0,10
1,AntonRampage,E - Simple sort,1,1
1,AntonRampage,F - Королевская сортировка,1,1
1,Arhimisha,A - A+B (Trial Problem),0,1
1,Arhimisha,A - A+B (Trial Problem),1,1
1,Arhimisha,B - Simple sort,1,1
1,Arhimisha,C - Simple sort,1,1
1,Arhimisha,D - Number of inversions,1,1
1,Arhimisha,E - Simple sort,0,1
1,Artem1989,A - A+B (Trial Problem),1,1
1,Artem1989,B - Simple sort,0,2
1,Artem1989,B - Simple sort,1,1
1,Artem1989,C - Simple sort,0,6
1,Artem1989,C - Simple sort,1,1
1,Artem1989,D - Number of inversions,0,2
1,Artem1989,D - Number of inversions,1,1
1,Artem1989,E - Simple sort,1,1
1,Artem1989,F - Королевская сортировка,0,3
1,Artem1989,F - Королевская сортировка,1,1
1,ArtemTsukanov,A - A+B (Trial Problem),1,1
1,ArtemTsukanov,B - Simple sort,0,1
1,ArtemTsukanov,B - Simple sort,1,1
1,ArtemTsukanov,C - Simple sort,0,2
1,ArtemTsukanov,C - Simple sort,1,1
1,ArtemTsukanov,D - Number of inversions,1,1
1,ArtemTsukanov,E - Simple sort,1,1
1,ArtemTsukanov,F - Королевская сортировка,1,1
1,Artem_Dronov,A - A+B (Trial Problem),1,1
1,Artem_Dronov,B - Simple sort,0,1
1,Artem_Dronov,B - Simple sort,1,1
1,Artem_Dronov,C - Simple sort,0,1
1,Artem_Dronov,C - Simple sort,1,1
1,Artem_Dronov,D - Number of inversions,1,1
1,Artem_Dronov,E - Simple sort,0,1
1,Artem_Dronov,E - Simple sort,1,1
1,Artem_Dronov,F - Королевская сортировка,0,1
1,Artem_Dronov,F - Королевская сортировка,1,1
1,Asd_zxc,A - A+B (Trial Problem),0,1
1,Asd_zxc,A - A+B (Trial Problem),1,1
1,Asd_zxc,B - Simple sort,1,1
1,Asd_zxc,C - Simple sort,0,1
1,Asd_zxc,C - Simple sort,1,1
1,Asd_zxc,D - Number of inversions,0,2
1,Asd_zxc,D - Number of inversions,1,1
1,Asd_zxc,E - Simple sort,1,1
1,Asd_zxc,F - Королевская сортировка,1,1
1,Aver_Power,A - A+B (Trial Problem),0,1
1,Aver_Power,A - A+B (Trial Problem),1,1
1,Aver_Power,B - Simple sort,1,1
1,Aver_Power,C - Simple sort,1,1
1,Aver_Power,D - Number of inversions,0,2
1,Aver_Power,D - Number of inversions,1,1
1,Aver_Power,E - Simple sort,1,1
1,Aver_Power,F - Королевская сортировка,1,1
1,Azamat_sab,A - A+B (Trial Problem),0,1
1,Azamat_sab,A - A+B (Trial Problem),1,1
1,Azamat_sab,B - Simple sort,0,7
1,Azamat_sab,B - Simple sort,1,1
1,Azamat_sab,C - Simple sort,1,1
1,Azamat_sab,D - Number of inversions,0,11
1,Azamat_sab,D - Number of inversions,1,1
1,Azamat_sab,E - Simple sort,0,12
1,Azamat_sab,E - Simple sort,1,1
1,Azamat_sab,F - Королевская сортировка,0,5
1,Azamat_sab,F - Королевская сортировка,1,1
1,BasharovIlya,A - A+B (Trial Problem),0,1
1,BasharovIlya,A - A+B (Trial Problem),1,1
1,BasharovIlya,B - Simple sort,0,3
1,BasharovIlya,B - Simple sort,1,1
1,BasharovIlya,C - Simple sort,0,1
1,BasharovIlya,C - Simple sort,1,1
1,BasharovIlya,D - Number of inversions,0,3
1,BasharovIlya,D - Number of inversions,1,1
1,BasharovIlya,E - Simple sort,1,1
1,BasharovIlya,F - Королевская сортировка,1,1
1,BigBossPikachu,A - A+B (Trial Problem),0,2
1,BigBossPikachu,A - A+B (Trial Problem),1,1
1,BigBossPikachu,B - Simple sort,1,1
1,BigBossPikachu,C - Simple sort,1,1
1,BigBossPikachu,D - Number of inversions,0,2
1,BigBossPikachu,D - Number of inversions,1,1
1,BigBossPikachu,E - Simple sort,0,4
1,BigBossPikachu,E - Simple sort,1,1
1,BigBossPikachu,F - Королевская сортировка,0,1
1,BigBossPikachu,F - Королевская сортировка,1,1
1,Bugi_bugi,A - A+B (Trial Problem),0,3
1,Bugi_bugi,A - A+B (Trial Problem),1,1
1,Bugi_bugi,B - Simple sort,1,1
1,Bugi_bugi,C - Simple sort,1,1
1,Bugi_bugi,D - Number of inversions,1,1
1,Bugi_bugi,E - Simple sort,1,1
1,Bugi_bugi,F - Королевская сортировка,0,1
1,Bugi_bugi,F - Королевская сортировка,1,1
1,CoolHawk,A - A+B (Trial Problem),0,1
1,CoolHawk,A - A+B (Trial Problem),1,1
1,CoolHawk,B - Simple sort,1,1
1,CoolHawk,C - Simple sort,1,1
1,CoolHawk,D - Number of inversions,1,1
1,CoolHawk,E - Simple sort,0,1
1,CoolHawk,E - Simple sort,1,1
1,CoolHawk,F - Королевская сортировка,0,1
1,CoolHawk,F - Королевская сортировка,1,1
1,Cosinus0,A - A+B (Trial Problem),0,2
1,Cosinus0,A - A+B (Trial Problem),1,1
1,Cosinus0,B - Simple sort,1,1
1,Cosinus0,C - Simple sort,1,1
1,Cosinus0,D - Number of inversions,0,1
1,Cosinus0,D - Number of inversions,1,1
1,Cosinus0,E - Simple sort,1,1
1,Cosinus0,F - Королевская сортировка,0,2
1,Cosinus0,F - Королевская сортировка,1,1
1,DeutschGraf,A - A+B (Trial Problem),0,2
1,DeutschGraf,A - A+B (Trial Problem),1,1
1,DeutschGraf,B - Simple sort,1,1
1,DeutschGraf,C - Simple sort,1,1
1,DeutschGraf,D - Number of inversions,0,6
1,DeutschGraf,D - Number of inversions,1,1
1,DeutschGraf,E - Simple sort,0,25
1,DeutschGraf,E - Simple sort,1,1
1,DeutschGraf,F - Королевская сортировка,0,2
1,DeutschGraf,F - Королевская сортировка,1,1
1,Dexter0,A - A+B (Trial Problem),1,1
1,Dexter0,B - Simple sort,1,1
1,Dexter0,C - Simple sort,1,1
1,Dexter0,D - Number of inversions,1,1
1,Dexter0,E - Simple sort,1,1
1,Dexter0,F - Королевская сортировка,1,1
1,DiSO,A - A+B (Trial Problem),1,1
1,DiSO,B - Simple sort,1,1
1,DiSO,C - Simple sort,1,1
1,DiSO,D - Number of inversions,0,6
1,DiSO,D - Number of inversions,1,1
1,DiSO,E - Simple sort,0,2
1,DiSO,E - Simple sort,1,1
1,DiSO,F - Королевская сортировка,0,4
1,DiSO,F - Королевская сортировка,1,1
1,DmitryDS,A - A+B (Trial Problem),0,1
1,DmitryDS,A - A+B (Trial Problem),1,1
1,DmitryDS,B - Simple sort,1,1
1,DmitryDS,C - Simple sort,0,1
1,DmitryDS,C - Simple sort,1,1
1,DmitryDS,D - Number of inversions,1,1
1,DmitryDS,E - Simple sort,1,1
1,DmitryDS,F - Королевская сортировка,1,1
1,EgorSavkin,A - A+B (Trial Problem),1,1
1,EgorSavkin,B - Simple sort,0,1
1,EgorSavkin,B - Simple sort,1,1
1,EgorSavkin,C - Simple sort,1,1
1,EgorSavkin,D - Number of inversions,1,1
1,EgorSavkin,E - Simple sort,1,1
1,EgorSavkin,F - Королевская сортировка,1,1
1,Egorokm19,A - A+B (Trial Problem),1,1
1,Egorokm19,B - Simple sort,0,8
1,Egorokm19,B - Simple sort,1,1
1,Egorokm19,C - Simple sort,1,1
1,Egorokm19,D - Number of inversions,1,1
1,Egorokm19,E - Simple sort,1,1
1,Egorokm19,F - Королевская сортировка,0,7
1,Egorokm19,F - Королевская сортировка,1,1
1,EienKotowaru,A - A+B (Trial Problem),1,1
1,EienKotowaru,B - Simple sort,1,1
1,EienKotowaru,C - Simple sort,1,1
1,EienKotowaru,D - Number of inversions,0,3
1,EienKotowaru,D - Number of inversions,1,1
1,EienKotowaru,E - Simple sort,1,1
1,EienKotowaru,F - Королевская сортировка,1,1
1,FarSir,A - A+B (Trial Problem),1,1
1,FarSir,B - Simple sort,0,1
1,FarSir,B - Simple sort,1,1
1,FarSir,C - Simple sort,0,1
1,FarSir,C - Simple sort,1,1
1,FarSir,D - Number of inversions,0,5
1,FarSir,D - Number of inversions,1,1
1,FarSir,E - Simple sort,1,1
1,FarSir,F - Королевская сортировка,0,26
1,Fianketto,A - A+B (Trial Problem),1,1
1,Fianketto,B - Simple sort,1,1
1,Fianketto,C - Simple sort,1,1
1,Fianketto,D - Number of inversions,1,1
1,Fianketto,E - Simple sort,1,1
1,Fianketto,F - Королевская сортировка,1,1
1,Gra37,A - A+B (Trial Problem),1,1
1,Gra37,B - Simple sort,1,1
1,Gra37,C - Simple sort,1,1
1,Gra37,D - Number of inversions,0,9
1,Gra37,D - Number of inversions,1,1
1,Gra37,E - Simple sort,0,2
1,Gra37,E - Simple sort,1,1
1,Gra37,F - Королевская сортировка,0,3
1,Gra37,F - Королевская сортировка,1,1
1,GreySS,A - A+B (Trial Problem),1,1
1,GreySS,B - Simple sort,1,1
1,GreySS,C - Simple sort,1,1
1,GreySS,D - Number of inversions,0,2
1,GreySS,D - Number of inversions,1,1
1,GreySS,E - Simple sort,0,5
1,GreySS,E - Simple sort,1,1
1,GreySS,F - Королевская сортировка,1,1
1,Huk_er,A - A+B (Trial Problem),0,2
1,Huk_er,A - A+B (Trial Problem),1,1
1,Huk_er,B - Simple sort,0,6
1,Huk_er,B - Simple sort,1,1
1,Huk_er,C - Simple sort,0,3
1,Huk_er,C - Simple sort,1,1
1,IMDxD,A - A+B (Trial Problem),1,1
1,IMDxD,B - Simple sort,1,1
1,IMDxD,C - Simple sort,1,1
1,IMDxD,D - Number of inversions,0,4
1,IMDxD,D - Number of inversions,1,1
1,IMDxD,E - Simple sort,1,1
1,IMDxD,F - Королевская сортировка,1,1
1,IVyazmin,A - A+B (Trial Problem),1,1
1,IVyazmin,B - Simple sort,1,1
1,IVyazmin,C - Simple sort,1,1
1,IVyazmin,D - Number of inversions,1,1
1,IVyazmin,E - Simple sort,1,1
1,IVyazmin,F - Королевская сортировка,0,1
1,IVyazmin,F - Королевская сортировка,1,1
1,Ignatych,A - A+B (Trial Problem),1,1
1,Ignatych,B - Simple sort,0,5
1,Ignatych,B - Simple sort,1,1
1,Ignatych,C - Simple sort,1,1
1,Ignatych,D - Number of inversions,0,5
1,Ignatych,E - Simple sort,0,12
1,IlyaPCP,A - A+B (Trial Problem),0,1
1,IlyaPCP,A - A+B (Trial Problem),1,1
1,IlyaPCP,B - Simple sort,1,1
1,IlyaPCP,C - Simple sort,1,1
1,IlyaPCP,D - Number of inversions,1,1
1,IlyaPCP,E - Simple sort,0,3
1,IlyaPCP,E - Simple sort,1,1
1,IlyaPCP,F - Королевская сортировка,1,1
1,IlyasLatypov,A - A+B (Trial Problem),1,1
1,IlyasLatypov,B - Simple sort,1,1
1,IlyasLatypov,C - Simple sort,1,1
1,IlyasLatypov,D - Number of inversions,0,1
1,IlyasLatypov,D - Number of inversions,1,1
1,IlyasLatypov,E - Simple sort,0,11
1,IlyasLatypov,E - Simple sort,1,1
1,IlyasLatypov,F - Королевская сортировка,0,2
1,IlyasLatypov,F - Королевская сортировка,1,1
1,Jeditem,A - A+B (Trial Problem),1,1
1,Jeditem,B - Simple sort,0,1
1,Jeditem,B - Simple sort,1,1
1,Jeditem,C - Simple sort,1,1
1,Jeditem,D - Number of inversions,0,2
1,Jeditem,D - Number of inversions,1,1
1,Jeditem,E - Simple sort,0,2
1,Jeditem,E - Simple sort,1,1
1,Jeditem,F - Королевская сортировка,1,1
1,JessSmith,A - A+B (Trial Problem),0,1
1,JessSmith,A - A+B (Trial Problem),1,1
1,JessSmith,B - Simple sort,0,1
1,JessSmith,B - Simple sort,1,1
1,JessSmith,C - Simple sort,1,1
1,JessSmith,D - Number of inversions,1,1
1,JessSmith,E - Simple sort,0,4
1,JessSmith,E - Simple sort,1,1
1,JessSmith,F - Королевская сортировка,0,3
1,JessSmith,F - Королевская сортировка,1,1
1,JunkieStyle,A - A+B (Trial Problem),1,1
1,JunkieStyle,B - Simple sort,0,3
1,JunkieStyle,B - Simple sort,1,1
1,JunkieStyle,C - Simple sort,0,2
1,JunkieStyle,C - Simple sort,1,1
1,JunkieStyle,D - Number of inversions,0,9
1,JunkieStyle,D - Number of inversions,1,1
1,JustML,A - A+B (Trial Problem),1,1
1,JustML,B - Simple sort,1,1
1,JustML,C - Simple sort,1,1
1,JustML,D - Number of inversions,0,9
1,JustML,D - Number of inversions,1,1
1,JustML,E - Simple sort,0,1
1,JustML,E - Simple sort,1,1
1,JustML,F - Королевская сортировка,1,1
1,Karvenko,A - A+B (Trial Problem),1,1
1,Karvenko,B - Simple sort,1,1
1,Karvenko,C - Simple sort,1,1
1,Karvenko,D - Number of inversions,0,1
1,Karvenko,D - Number of inversions,1,1
1,Karvenko,E - Simple sort,0,3
1,Karvenko,E - Simple sort,1,1
1,Karvenko,F - Королевская сортировка,1,1
1,KernelA,A - A+B (Trial Problem),0,1
1,KernelA,A - A+B (Trial Problem),1,1
1,KernelA,B - Simple sort,1,1
1,KernelA,C - Simple sort,1,1
1,KernelA,D - Number of inversions,0,2
1,KernelA,D - Number of inversions,1,1
1,KernelA,E - Simple sort,0,3
1,KernelA,E - Simple sort,1,1
1,KernelA,F - Королевская сортировка,0,4
1,KernelA,F - Королевская сортировка,1,1
1,KilAgen,A - A+B (Trial Problem),0,1
1,KilAgen,A - A+B (Trial Problem),1,1
1,KilAgen,B - Simple sort,1,1
1,KilAgen,C - Simple sort,0,4
1,KilAgen,C - Simple sort,1,1
1,KilAgen,D - Number of inversions,0,2
1,KilAgen,D - Number of inversions,1,1
1,KilAgen,E - Simple sort,1,1
1,KilAgen,F - Королевская сортировка,1,1
1,Kizz,A - A+B (Trial Problem),0,1
1,Kizz,A - A+B (Trial Problem),1,1
1,Kizz,B - Simple sort,1,1
1,Kizz,C - Simple sort,1,1
1,Kizz,D - Number of inversions,1,1
1,Kizz,E - Simple sort,1,1
1,Kizz,F - Королевская сортировка,1,1
1,KotikKo,A - A+B (Trial Problem),1,1
1,KotikKo,B - Simple sort,0,2
1,KotikKo,B - Simple sort,1,1
1,KotikKo,C - Simple sort,1,1
1,KotikKo,D - Number of inversions,0,3
1,KotikKo,D - Number of inversions,1,1
1,KotikKo,E - Simple sort,1,1
1,KotikKo,F - Королевская сортировка,0,10
1,KuznetsovLeonid,A - A+B (Trial Problem),0,1
1,KuznetsovLeonid,A - A+B (Trial Problem),1,1
1,KuznetsovLeonid,B - Simple sort,0,2
1,KuznetsovLeonid,B - Simple sort,1,1
1,KuznetsovLeonid,C - Simple sort,0,1
1,KuznetsovLeonid,C - Simple sort,1,1
1,KuznetsovLeonid,D - Number of inversions,0,1
1,KuznetsovLeonid,D - Number of inversions,1,1
1,KuznetsovLeonid,E - Simple sort,0,2
1,KuznetsovLeonid,E - Simple sort,1,1
1,KuznetsovLeonid,F - Королевская сортировка,1,1
1,Lubov_Kudrenok,A - A+B (Trial Problem),0,1
1,Lubov_Kudrenok,A - A+B (Trial Problem),1,1
1,Lubov_Kudrenok,B - Simple sort,1,1
1,Lubov_Kudrenok,C - Simple sort,1,1
1,Lubov_Kudrenok,D - Number of inversions,0,2
1,Lubov_Kudrenok,D - Number of inversions,1,1
1,Lubov_Kudrenok,E - Simple sort,0,4
1,Lubov_Kudrenok,F - Королевская сортировка,1,1
1,LunatiP,A - A+B (Trial Problem),1,1
1,LunatiP,B - Simple sort,0,2
1,LunatiP,B - Simple sort,1,1
1,LunatiP,C - Simple sort,0,1
1,LunatiP,C - Simple sort,1,1
1,LunatiP,D - Number of inversions,0,2
1,LunatiP,D - Number of inversions,1,1
1,LunatiP,E - Simple sort,0,6
1,LunatiP,F - Королевская сортировка,1,1
1,MakhmutovaLiliya,A - A+B (Trial Problem),1,1
1,MakhmutovaLiliya,B - Simple sort,1,1
1,MakhmutovaLiliya,C - Simple sort,1,1
1,MakhmutovaLiliya,D - Number of inversions,0,4
1,MakhmutovaLiliya,D - Number of inversions,1,1
1,MakhmutovaLiliya,E - Simple sort,0,1
1,MakhmutovaLiliya,E - Simple sort,1,1
1,MakhmutovaLiliya,F - Королевская сортировка,1,1
1,Malahai,A - A+B (Trial Problem),1,1
1,Malahai,B - Simple sort,1,1
1,Malahai,C - Simple sort,0,3
1,Malahai,C - Simple sort,1,1
1,Malahai,D - Number of inversions,0,1
1,Malahai,D - Number of inversions,1,1
1,Malahai,E - Simple sort,1,1
1,Malahai,F - Королевская сортировка,0,4
1,Malahai,F - Королевская сортировка,1,1
1,MargaritaNik,A - A+B (Trial Problem),0,2
1,MargaritaNik,A - A+B (Trial Problem),1,1
1,MargaritaNik,B - Simple sort,0,1
1,MargaritaNik,B - Simple sort,1,1
1,MargaritaNik,C - Simple sort,1,1
1,MargaritaNik,D - Number of inversions,1,1
1,MargaritaNik,E - Simple sort,0,14
1,Mary222,A - A+B (Trial Problem),0,1
1,Mary222,A - A+B (Trial Problem),1,1
1,Mary222,B - Simple sort,0,3
1,Mary222,B - Simple sort,1,1
1,Mary222,C - Simple sort,1,1
1,Mary222,D - Number of inversions,1,1
1,Mary222,E - Simple sort,0,9
1,Mary222,E - Simple sort,1,1
1,Mary222,F - Королевская сортировка,1,1
1,Mornie,A - A+B (Trial Problem),1,1
1,Mornie,B - Simple sort,0,1
1,Mornie,B - Simple sort,1,1
1,Mornie,C - Simple sort,1,1
1,Mornie,D - Number of inversions,0,1
1,Mornie,D - Number of inversions,1,1
1,Mornie,E - Simple sort,0,3
1,Mornie,E - Simple sort,1,1
1,Mornie,F - Королевская сортировка,1,1
1,Mykolesiko,A - A+B (Trial Problem),1,1
1,Mykolesiko,B - Simple sort,1,1
1,Mykolesiko,C - Simple sort,1,1
1,Mykolesiko,D - Number of inversions,0,2
1,Mykolesiko,D - Number of inversions,1,1
1,Mykolesiko,E - Simple sort,0,1
1,Mykolesiko,E - Simple sort,1,1
1,Mykolesiko,F - Королевская сортировка,0,4
1,Mykolesiko,F - Королевская сортировка,1,1
1,Nubithenoob,A - A+B (Trial Problem),1,1
1,Nubithenoob,B - Simple sort,0,2
1,Nubithenoob,B - Simple sort,1,1
1,Nubithenoob,C - Simple sort,1,1
1,Oleg__Trusov,A - A+B (Trial Problem),0,3
1,Oleg__Trusov,A - A+B (Trial Problem),1,1
1,Oleg__Trusov,B - Simple sort,0,3
1,Oleg__Trusov,B - Simple sort,1,1
1,Oleg__Trusov,C - Simple sort,0,2
1,Oleg__Trusov,C - Simple sort,1,1
1,Oleg__Trusov,D - Number of inversions,0,1
1,Oleg__Trusov,D - Number of inversions,1,1
1,Oleg__Trusov,E - Simple sort,0,4
1,Oleg__Trusov,E - Simple sort,1,1
1,Oleg__Trusov,F - Королевская сортировка,0,2
1,Oleg__Trusov,F - Королевская сортировка,1,1
1,PavelMeld,A - A+B (Trial Problem),1,1
1,PavelMeld,B - Simple sort,1,1
1,PavelMeld,C - Simple sort,1,1
1,PavelMeld,D - Number of inversions,0,8
1,PavelMeld,D - Number of inversions,1,1
1,PavelMeld,E - Simple sort,0,3
1,PavelMeld,E - Simple sort,1,1
1,PavelMeld,F - Королевская сортировка,0,2
1,PavelMeld,F - Королевская сортировка,1,1
1,Pavel_shalnov,A - A+B (Trial Problem),1,1
1,Pavel_shalnov,B - Simple sort,0,2
1,Pavel_shalnov,B - Simple sort,1,1
1,Pavel_shalnov,C - Simple sort,1,1
1,Pavel_shalnov,D - Number of inversions,0,1
1,Pavel_shalnov,D - Number of inversions,1,1
1,Pavel_shalnov,E - Simple sort,0,3
1,Pavel_shalnov,E - Simple sort,1,1
1,Pavel_shalnov,F - Королевская сортировка,1,1
1,PetrYurchenko,A - A+B (Trial Problem),0,4
1,PetrYurchenko,A - A+B (Trial Problem),1,1
1,PetrYurchenko,B - Simple sort,0,2
1,PetrYurchenko,B - Simple sort,1,1
1,PetrYurchenko,C - Simple sort,1,1
1,PetrYurchenko,D - Number of inversions,1,1
1,PetrYurchenko,E - Simple sort,0,7
1,PetrYurchenko,E - Simple sort,1,1
1,PetrYurchenko,F - Королевская сортировка,1,1
1,PustotaPetr,A - A+B (Trial Problem),1,1
1,PustotaPetr,B - Simple sort,1,1
1,PustotaPetr,C - Simple sort,1,1
1,PustotaPetr,D - Number of inversions,0,1
1,PustotaPetr,D - Number of inversions,1,1
1,PustotaPetr,E - Simple sort,0,5
1,PustotaPetr,E - Simple sort,1,1
1,PustotaPetr,F - Королевская сортировка,1,1
1,Pyo,A - A+B (Trial Problem),1,1
1,Pyo,B - Simple sort,1,1
1,Pyo,C - Simple sort,0,3
1,Pyo,C - Simple sort,1,1
1,Pyo,D - Number of inversions,0,4
1,Pyo,D - Number of inversions,1,1
1,Pyo,E - Simple sort,0,2
1,Pyo,E - Simple sort,1,1
1,Pyo,F - Королевская сортировка,0,1
1,Pyo,F - Королевская сортировка,1,1
1,Rammi,A - A+B (Trial Problem),1,1
1,Rammi,B - Simple sort,0,4
1,Rammi,B - Simple sort,1,1
1,Rammi,C - Simple sort,0,1
1,Rammi,C - Simple sort,1,1
1,Rammi,D - Number of inversions,0,1
1,Rammi,D - Number of inversions,1,1
1,Rammi,E - Simple sort,0,4
1,Rammi,E - Simple sort,1,1
1,Rammi,F - Королевская сортировка,0,2
1,Rammi,F - Королевская сортировка,1,1
1,Ripper_1011,A - A+B (Trial Problem),1,1
1,Ripper_1011,B - Simple sort,1,1
1,Ripper_1011,C - Simple sort,1,1
1,Ripper_1011,D - Number of inversions,0,2
1,Ripper_1011,D - Number of inversions,1,1
1,Ripper_1011,E - Simple sort,0,1
1,Ripper_1011,E - Simple sort,1,1
1,Ripper_1011,F - Королевская сортировка,0,3
1,Ripper_1011,F - Королевская сортировка,1,1
1,RoZa,A - A+B (Trial Problem),1,1
1,RoZa,B - Simple sort,1,1
1,RoZa,C - Simple sort,0,9
1,RoZa,C - Simple sort,1,1
1,RoZa,D - Number of inversions,1,1
1,RoZa,E - Simple sort,1,1
1,RoZa,F - Королевская сортировка,1,1
1,Robur,A - A+B (Trial Problem),1,1
1,Robur,B - Simple sort,1,1
1,Robur,C - Simple sort,0,1
1,Robur,C - Simple sort,1,1
1,Robur,D - Number of inversions,1,1
1,Robur,E - Simple sort,1,1
1,Robur,F - Королевская сортировка,0,4
1,Robur,F - Королевская сортировка,1,1
1,S.Suhantsev,A - A+B (Trial Problem),1,1
1,S.Suhantsev,B - Simple sort,1,1
1,S.Suhantsev,C - Simple sort,1,1
1,S.Suhantsev,D - Number of inversions,1,1
1,S.Suhantsev,E - Simple sort,0,9
1,S.Suhantsev,E - Simple sort,1,1
1,S.Suhantsev,F - Королевская сортировка,1,1
1,Safin,A - A+B (Trial Problem),1,1
1,Safin,B - Simple sort,1,1
1,Safin,C - Simple sort,1,1
1,Safin,D - Number of inversions,0,1
1,Safin,D - Number of inversions,1,1
1,Safin,E - Simple sort,0,1
1,Safin,E - Simple sort,1,1
1,Safin,F - Королевская сортировка,1,1
1,SergeyNefedov,A - A+B (Trial Problem),1,1
1,SergeyNefedov,B - Simple sort,0,1
1,SergeyNefedov,B - Simple sort,1,1
1,SergeyNefedov,C - Simple sort,1,1
1,SergeyNefedov,D - Number of inversions,0,1
1,SergeyNefedov,D - Number of inversions,1,1
1,SergeyNefedov,E - Simple sort,0,4
1,SergeyNefedov,E - Simple sort,1,1
1,SergeyNefedov,F - Королевская сортировка,1,1
1,Sevarius,A - A+B (Trial Problem),0,2
1,Sevarius,A - A+B (Trial Problem),1,1
1,Sevarius,B - Simple sort,1,1
1,Sevarius,C - Simple sort,1,1
1,Sevarius,D - Number of inversions,0,2
1,Sevarius,D - Number of inversions,1,1
1,Sevarius,E - Simple sort,0,1
1,Sevarius,E - Simple sort,1,1
1,Sevarius,F - Королевская сортировка,0,1
1,Sevarius,F - Королевская сортировка,1,1
1,ShevchukAlex,A - A+B (Trial Problem),1,1
1,ShevchukAlex,B - Simple sort,1,1
1,ShevchukAlex,C - Simple sort,1,1
1,ShevchukAlex,D - Number of inversions,1,1
1,ShevchukAlex,E - Simple sort,0,7
1,ShevchukAlex,E - Simple sort,1,1
1,Sokoloid,A - A+B (Trial Problem),1,1
1,Sokoloid,B - Simple sort,0,6
1,Sokoloid,B - Simple sort,1,1
1,Sokoloid,C - Simple sort,1,1
1,Sokoloid,D - Number of inversions,0,1
1,Sokoloid,D - Number of inversions,1,1
1,Sokoloid,E - Simple sort,0,4
1,Sokoloid,E - Simple sort,1,1
1,Sokoloid,F - Королевская сортировка,0,1
